id,brand,display_name_ko,display_name_en,size,status,verified_at,kr_strict_offer,us_strict_offer,jp_strict_offer,offer_count,kr_price,kr_retailer,kr_stock,review_reasons,eligibility_failures,duplicate_group,duplicate_peers,queue_priority
159,Haruharu Wonder,블랙 라이스 히알루로닉 크림,Black Rice Hyaluronic Cream,,manual_review,,false,false,false,0,,,,needs_official_source_and_offer,,,,2
160,Haruharu Wonder,블랙 라이스 모이스처 선크림,Black Rice Moisture Sunscreen,,manual_review,,false,false,false,0,,,,needs_official_source_and_offer,,,,2
17,Innisfree,머그워트 포어 클래리파잉 세럼,Mugwort Pore Clarifying Serum,,manual_review,,false,false,false,0,,,,needs_official_source_and_offer,,,,2
20,Torriden,다이브인 세럼,Dive In Low Molecular Hyaluronic Acid Serum,,manual_review,,false,false,false,0,,,,needs_official_source_and_offer,,,,2
16,Round Lab,릴리프 선 라이스 앤 프로바이오틱스,Relief Sun Rice and Probiotics,,manual_review,,false,false,false,0,,,,needs_official_source_and_offer,,,,2
19,Torriden,히알루론산 하이드라 파워 에센스,Hyaluronic Acid Hydra Power Essence,,manual_review,,false,false,false,0,,,,needs_official_source_and_offer,,,,2
24,I Am From,쌀 브라이트닝 토너,Rice Brightening Toner,,manual_review,,false,false,false,0,,,,needs_official_source_and_offer,,,,2
161,Haruharu Wonder,블랙 라이스 페이셜 오일,Black Rice Facial Oil,,manual_review,,false,false,false,0,,,,needs_official_source_and_offer,,,,2
162,Goodal,그린 탠저린 비타 C 다크 스팟 크림,Green Tangerine Vita C Dark Spot Cream,,manual_review,,false,false,false,0,,,,needs_official_source_and_offer,,,,2
30,Some By Mi,펩타이드 9 볼륨 에센스,Peptide 9 Volume Essence,,manual_review,,false,false,false,0,,,,needs_official_source_and_offer,,,,2
31,Innisfree,티트리 포어 타이트닝 토너,Tea Tree Pore Tightening Toner,,manual_review,,false,false,false,0,,,,needs_official_source_and_offer,,,,2
163,Goodal,그린 탠저린 비타 C 아이 패치,Green Tangerine Vita C Eye Patch,,manual_review,,false,false,false,0,,,,needs_official_source_and_offer,,,,2
32,Innisfree,그린티 히알루론 크림,Green Tea Hyaluronic Cream,,manual_review,,false,false,false,0,,,,needs_official_source_and_offer,,,,2
33,Purito,비타민 C 브라이트닝 세럼,Vitamin C Brightening Serum,,manual_review,,false,false,false,0,,,,needs_official_source_and_offer,,,,2
26,SKIN1004,갈락토미세스 비타민 C 세럼,Galactomyces Pure Vitamin C Glow Serum,,manual_review,,false,false,false,0,,,,needs_official_source_and_offer,,,,2
2,Some By Mi,AHA BHA PHA 30일 미라클 토너,AHA BHA PHA 30 Days Miracle Toner,,manual_review,,false,false,false,0,,,,needs_official_source_and_offer,,,,2
40,Heimish,올 클린 밤,All Clean Balm,,manual_review,,false,false,false,0,,,,needs_official_source_and_offer,,,,2
38,Axis-Y,어성초 쿼세티놀 포어 클렌징 세럼,Heartleaf Quercetinol Pore Cleansing Serum,,manual_review,,false,false,false,0,,,,needs_official_source_and_offer,,,,2
39,Heimish,프로폴리스 에너지 부스팅 세럼,Propolis Energy Boosting Serum,,manual_review,,false,false,false,0,,,,needs_official_source_and_offer,,,,2
37,Holika Holika,알로에 수딩 선 크림,Aloe Soothing Sun Cream,,manual_review,,false,false,false,0,,,,needs_official_source_and_offer,,,,2
8,Youth To The People,수퍼푸드 클렌저,Youth To The People Superfood Cleanser,,manual_review,,false,false,false,0,,,,needs_official_source_and_offer,,,,2
4,COSRX,달팽이 뮤신 96% 에센스,Snail Mucin 96% Power Repairing Essence,100 ml,verified_ready,2026-07-13T16:01:29.291794+00:00,true,false,false,1,23000,COSRX Official KR,in_stock,,,,,3
101,Tonymoly,프로바이오틱스 릴리프 크림,Probiotics Relief Cream,,manual_review,,false,false,false,0,,,,needs_official_source_and_offer,,,,2
42,Clinique,모이스처 서지 100H,Moisture Surge 100H Auto-Replenishing Hydrator,,manual_review,,false,false,false,0,,,,needs_official_source_and_offer,,,,2
5,Banila Co,워터풀 톡톡 크림,Waterful Tok Tok Cream,,manual_review,,false,false,false,0,,,,needs_official_source_and_offer,,,,2
164,Anua,피치 70 나이아신 세럼 글로우,Peach 70 Niacin Serum Glow,,manual_review,,false,false,false,0,,,,needs_official_source_and_offer,,,,2
41,Axis-Y,시카풀 앰플,Cicaful Ampoule,,manual_review,,false,false,false,0,,,,needs_official_source_and_offer,,,,2
102,Beauty of Joseon,다이너스티 크림,Dynasty Cream,,manual_review,,false,false,false,0,,,,needs_official_source_and_offer,,,,2
49,Atopalm,리얼 배리어 크림,Real Barrier Cream,,manual_review,,false,false,false,0,,,,needs_official_source_and_offer,,,,2
50,Hyggee,히게 올인원 에센스,Hyggee All-in-One Essence,,manual_review,,false,false,false,0,,,,needs_official_source_and_offer,,,,2
46,Klairs,브라이트닝 비타민 C 크림,Brightening Vitamin C Cream,,manual_review,,false,false,false,0,,,,needs_official_source_and_offer,,,,2
43,Peach Slices,스네일 레스큐 블레미쉬 세럼,Peach Slices Snail Rescue Blemish Busting Serum,,manual_review,,false,false,false,0,,,,needs_official_source_and_offer,,,,2
52,Neogen,머그워트 칼밍 패드,Mugwort Calming Pad,,manual_review,,false,false,false,0,,,,needs_official_source_and_offer,,,,2
53,SK-II,리얼 퍼먼트 마이크로 에센스,Real Ferment Micro Essence,,manual_review,,false,false,false,0,,,,needs_official_source_and_offer,,,,2
54,Clinique,모이스처 서지 익스텐디드,Moisture Surge Extended Thirst Relief,,manual_review,,false,false,false,0,,,,needs_official_source_and_offer,,,,2
56,Neogen,유자 워터 C 브라이트 슬리핑 마스크,Yuja Water C Bright Sleeping Mask,,manual_review,,false,false,false,0,,,,needs_official_source_and_offer,,,,2
55,Axis-Y,시카 세럼,Cica Serum,,manual_review,,false,false,false,0,,,,needs_official_source_and_offer,,,,2
60,Belif,하이드로 플럼프 세럼,Hydro Plump Serum,,manual_review,,false,false,false,0,,,,needs_official_source_and_offer,,,,2
103,Beauty of Joseon,릴리프 선 라이스 앤 프로바이오틱스,Relief Sun Rice and Probiotics,,manual_review,,false,false,false,0,,,,needs_official_source_and_offer,,,,2
92,Axis-Y,시카풀 아쿠아 크림,Cicaful Aqua Cream,,manual_review,,false,false,false,0,,,,needs_official_source_and_offer,,,,2
71,The Ordinary,멀티 펩타이드 + HA 세럼,Multi-Peptide + HA Serum,,manual_review,,false,false,false,0,,,,needs_official_source_and_offer,,,,2
12,Innisfree,톤업 크림,Tone Up Cream,,manual_review,,false,false,false,0,,,,needs_official_source_and_offer,,,,2
61,Belif,트루 크림 아쿠아 밤,True Cream Aqua Bomb,,manual_review,,false,false,false,0,,,,needs_official_source_and_offer,,,,2
10,COSRX,프로폴리스 라이트 앰플,Propolis Light Ampoule,,manual_review,,false,false,false,0,,,,needs_official_source_and_offer,,,,2
165,Anua,PDRN 히알루론산 크림,PDRN Hyaluronic Acid Cream,,manual_review,,false,false,false,0,,,,needs_official_source_and_offer,,,,2
64,Medi-Peel,셀 리턴 펩타이드 앰플,Cell Return Peptide Ampoule,,manual_review,,false,false,false,0,,,,needs_official_source_and_offer,,,,2
63,Lagom,프로바이오틱스 유스 리페어 크림,Probiotics Youth Repair Cream,,manual_review,,false,false,false,0,,,,needs_official_source_and_offer,,,,2
106,Beauty of Joseon,칼밍 세럼 하트리프 앤 판테놀,Calming Serum Heartleaf and Panthenol,,manual_review,,false,false,false,0,,,,needs_official_source_and_offer,,,,2
107,Missha,타임 레볼루션 더 퍼스트 트리트먼트 에센스,Time Revolution The First Treatment Essence,,manual_review,,false,false,false,0,,,,needs_official_source_and_offer,,,,2
108,Missha,타임 레볼루션 나이트 리페어 프로바이오 앰플,Time Revolution Night Repair Probio Ampoule,,manual_review,,false,false,false,0,,,,needs_official_source_and_offer,,,,2
76,Pyunkang Yul,에센스 토너,Essence Toner,,manual_review,,false,false,false,0,,,,needs_official_source_and_offer,,,,2
109,Missha,수퍼 아쿠아 셀 리뉴 스네일 크림,Super Aqua Cell Renew Snail Cream,,manual_review,,false,false,false,0,,,,needs_official_source_and_offer,,,,2
110,Missha,올 어라운드 세이프 블록 에센스 선 SPF45,All Around Safe Block Essence Sun SPF45,,manual_review,,false,false,false,0,,,,needs_official_source_and_offer,,,,2
