product_id,brand,display_name_ko,status,priority,reasons
1,COSRX,센텔라 워터 무알코올 토너,manual_review,2,needs_official_source_and_offer
10,COSRX,프로폴리스 라이트 앰플,manual_review,2,needs_official_source_and_offer
100,Erborian,CC 레드 커렉트,manual_review,2,needs_official_source_and_offer
101,Tonymoly,프로바이오틱스 릴리프 크림,manual_review,2,needs_official_source_and_offer
102,Beauty of Joseon,다이너스티 크림,manual_review,2,needs_official_source_and_offer
103,Beauty of Joseon,릴리프 선 라이스 앤 프로바이오틱스,manual_review,2,needs_official_source_and_offer
104,Beauty of Joseon,글로우 세럼 프로폴리스 앤 나이아신아마이드,manual_review,2,needs_official_source_and_offer
105,Beauty of Joseon,리바이브 아이 세럼 레티날 앤 카페인,manual_review,2,needs_official_source_and_offer
106,Beauty of Joseon,칼밍 세럼 하트리프 앤 판테놀,manual_review,2,needs_official_source_and_offer
107,Missha,타임 레볼루션 더 퍼스트 트리트먼트 에센스,manual_review,2,needs_official_source_and_offer
108,Missha,타임 레볼루션 나이트 리페어 프로바이오 앰플,manual_review,2,needs_official_source_and_offer
109,Missha,수퍼 아쿠아 셀 리뉴 스네일 크림,manual_review,2,needs_official_source_and_offer
11,Some By Mi,시카 펩타이드 앰플,manual_review,2,needs_official_source_and_offer
110,Missha,올 어라운드 세이프 블록 에센스 선 SPF45,manual_review,2,needs_official_source_and_offer
111,Missha,벨벳 피니시 쿠션 파운데이션,manual_review,2,needs_official_source_and_offer
112,ETUDE,순정 2x 배리어 인텐시브 크림,manual_review,2,needs_official_source_and_offer
113,ETUDE,순정 pH 5.5 릴리프 토너,manual_review,2,needs_official_source_and_offer
114,ETUDE,원더 포어 프레쉬너 토너,manual_review,2,needs_official_source_and_offer
115,ETUDE,애니 쿠션 커버 글로우 SPF34,manual_review,2,needs_official_source_and_offer
116,ETUDE,모이스트풀 콜라겐 크림,manual_review,2,needs_official_source_and_offer
117,TIRTIR,밀크 스킨 토너,manual_review,2,needs_official_source_and_offer
118,TIRTIR,마스크 핏 레드 쿠션,manual_review,2,needs_official_source_and_offer
119,TIRTIR,세라믹 스킨 세럼,manual_review,2,needs_official_source_and_offer
12,Innisfree,톤업 크림,manual_review,2,needs_official_source_and_offer
120,TIRTIR,톤업 UV 선크림 SPF50,manual_review,2,needs_official_source_and_offer
121,medicube,에이지알 부스터 H,manual_review,2,needs_official_source_and_offer
122,medicube,콜라겐 젤리 크림,manual_review,2,needs_official_source_and_offer
123,medicube,레드 이레이징 세럼,manual_review,2,needs_official_source_and_offer
124,medicube,제로 세범 파우더,manual_review,2,needs_official_source_and_offer
125,Abib,마일드 애시딕 pH 시트 마스크 하트리프 핏,manual_review,2,needs_official_source_and_offer
126,Abib,제리코 로즈 앰플,manual_review,2,needs_official_source_and_offer
127,Abib,레티클 아이 크림,manual_review,2,needs_official_source_and_offer
128,Abib,하트리프 토너 패드,manual_review,2,needs_official_source_and_offer
129,Isntree,히알루론산 워터리 선 젤 SPF50,manual_review,2,needs_official_source_and_offer
13,Some By Mi,리얼 시카 칼밍 크림,manual_review,2,needs_official_source_and_offer
130,Isntree,녹차 프레쉬 토너,manual_review,2,needs_official_source_and_offer
131,Isntree,시카 펩타이드 앰플,manual_review,2,needs_official_source_and_offer
132,Isntree,어니언 뉴페어 크림,manual_review,2,needs_official_source_and_offer
133,Ma:nyo,비피다 바이옴 컴플렉스 앰플,manual_review,2,needs_official_source_and_offer
134,Ma:nyo,퓨어 클렌징 오일,manual_review,2,needs_official_source_and_offer
135,Ma:nyo,갈락토미 나이아신 에센스,manual_review,2,needs_official_source_and_offer
136,Ma:nyo,히알루론 모이스처 크림,manual_review,2,needs_official_source_and_offer
137,Benton,스네일 비 하이 콘텐트 에센스,manual_review,2,needs_official_source_and_offer
138,Benton,알로에 BHA 스킨 토너,manual_review,2,needs_official_source_and_offer
139,Benton,딥 그린티 크림,manual_review,2,needs_official_source_and_offer
14,Some By Mi,유자 나이아신 브라이트닝 젤 크림,manual_review,2,needs_official_source_and_offer
140,Benton,퍼멘테이션 아이 크림,manual_review,2,needs_official_source_and_offer
141,Rovectin,스킨 에센셜 배리어 리페어 크림-미스트,manual_review,2,needs_official_source_and_offer
142,Rovectin,클린 비타민 C 브라이트닝 세럼,manual_review,2,needs_official_source_and_offer
143,Rovectin,아쿠아 수딩 젤 크림,manual_review,2,needs_official_source_and_offer
144,Tocobo,바이오 워터리 선크림 SPF50,manual_review,2,needs_official_source_and_offer
145,Tocobo,글라스 선 스틱 SPF50,manual_review,2,needs_official_source_and_offer
146,Tocobo,콜라겐 클레이 폼 클렌저,manual_review,2,needs_official_source_and_offer
147,Nacific,프레시 허브 오리진 세럼,manual_review,2,needs_official_source_and_offer
148,Nacific,PHR 앰플 토너,manual_review,2,needs_official_source_and_offer
149,Nacific,내추럴 데일리 토너 패드,manual_review,2,needs_official_source_and_offer
15,Skinfood,블랙슈가 퍼펙트 에센셜 스크럽,manual_review,2,needs_official_source_and_offer
150,IOPE,바이오 레티놀 솔루션,manual_review,2,needs_official_source_and_offer
151,IOPE,플랜트 스템 셀 캡처 크림,manual_review,2,needs_official_source_and_offer
152,IOPE,슈퍼 바이탈 크림 리치,manual_review,2,needs_official_source_and_offer
153,mixsoon,빈 세럼,manual_review,2,needs_official_source_and_offer
154,mixsoon,센텔라 아시아티카 젤,manual_review,2,needs_official_source_and_offer
155,mixsoon,프로폴리스 추출물 앰플,manual_review,2,needs_official_source_and_offer
156,Sulwhasoo,퍼스트 케어 액티베이팅 세럼,manual_review,2,needs_official_source_and_offer
157,Sulwhasoo,에센셜 밸런싱 워터,manual_review,2,needs_official_source_and_offer
158,Sulwhasoo,컨센트레이티드 진셍 리뉴잉 세럼,manual_review,2,needs_official_source_and_offer
159,Haruharu Wonder,블랙 라이스 히알루로닉 크림,manual_review,2,needs_official_source_and_offer
16,Round Lab,릴리프 선 라이스 앤 프로바이오틱스,manual_review,2,needs_official_source_and_offer
160,Haruharu Wonder,블랙 라이스 모이스처 선크림,manual_review,2,needs_official_source_and_offer
161,Haruharu Wonder,블랙 라이스 페이셜 오일,manual_review,2,needs_official_source_and_offer
162,Goodal,그린 탠저린 비타 C 다크 스팟 크림,manual_review,2,needs_official_source_and_offer
163,Goodal,그린 탠저린 비타 C 아이 패치,manual_review,2,needs_official_source_and_offer
164,Anua,피치 70 나이아신 세럼 글로우,manual_review,2,needs_official_source_and_offer
165,Anua,PDRN 히알루론산 크림,manual_review,2,needs_official_source_and_offer
166,Axis-Y,다크 스팟 코렉팅 글로우 세럼,manual_review,2,needs_official_source_and_offer
167,Axis-Y,컴플리트 노 스트레스 피지컬 선크림,manual_review,2,needs_official_source_and_offer
168,Round Lab,버치 주스 모이스처라이징 세럼,manual_review,2,needs_official_source_and_offer
169,Round Lab,버치 주스 모이스처라이징 크림,manual_review,2,needs_official_source_and_offer
17,Innisfree,머그워트 포어 클래리파잉 세럼,manual_review,2,needs_official_source_and_offer
170,SKIN1004,마다가스카르 센텔라 히알루-시카 워터핏 선 세럼,manual_review,2,needs_official_source_and_offer
171,SKIN1004,마다가스카르 센텔라 톤 브라이트닝 캡슐 앰플,manual_review,2,needs_official_source_and_offer
172,Purito,프롬 그린 아보카도 클렌징 폼,manual_review,2,needs_official_source_and_offer
173,Purito,데일리 고 투 선크림 SPF50,manual_review,2,needs_official_source_and_offer
174,Some By Mi,30 데이즈 미라클 크림,manual_review,2,needs_official_source_and_offer
175,Some By Mi,갈락토미세스 퓨어 비타민 C 글로우 토너,manual_review,2,needs_official_source_and_offer
176,Innisfree,그린티 씨드 세럼,manual_review,2,needs_official_source_and_offer
177,Innisfree,제주 화산 모공 클렌징 폼,manual_review,2,needs_official_source_and_offer
178,Klairs,리치 모이스트 수딩 세럼,manual_review,2,needs_official_source_and_offer
179,Klairs,프레쉴리 쥬스드 비타민 C 세럼,manual_review,2,needs_official_source_and_offer
18,Dr. Jart+,세라마이딘 크림,manual_review,2,needs_official_source_and_offer
180,Laneige,크림 스킨 토너 앤 모이스처라이저,manual_review,2,needs_official_source_and_offer
181,Laneige,네오 쿠션 매트 파운데이션,manual_review,2,needs_official_source_and_offer
182,Glow Recipe,플럼 플럼프 히알루론산 세럼,manual_review,2,needs_official_source_and_offer
183,Glow Recipe,스트로베리 BHA 포어 스무스 블러 드롭스,manual_review,2,needs_official_source_and_offer
184,Dr. Jart+,바이탈 하이드라 솔루션 딥 하이드레이션 세럼,manual_review,2,needs_official_source_and_offer
186,COSRX,어드밴스드 스네일 펩타이드 아이 크림,manual_review,2,needs_official_source_and_offer
187,COSRX,더 비타민 C 23 세럼,manual_review,2,needs_official_source_and_offer
